Fecha,Accion,Cantidad,Ganancia
05/02/2021,Venta,8,96
17/02/2021,Venta,5,60
18/02/2021,Venta,2,24
19/02/2021,Venta,4,48
20/02/2021,Venta,4,48
22/02/2021,Venta,15,180
05/03/2021,Venta,1,12
10/03/2021,Venta,2,24
11/03/2021,Venta,5,60
18/03/2021,Venta,8,96
22/03/2021,Venta,4,48
05/04/2021,Venta,14,168
05/02/2021,Carga,7,-56
11/05/2021,Venta,3,42
11/05/2021,Venta,10,140
05/11/21,Carga,5,-45
05/11/21,Carga,5,-45
12/05/2021,Venta,5,70
12/05/21,Carga,5,-45
12/05/2021,Venta,5,70
12/05/2021,Venta,5,70
12/05/21,Carga,5,-45
